Sex,Length,Diameter,Height,Whole-weight,Shucked-weight,Viscera-weight,Shell-weight,Rings
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],3
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],3
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],3
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],4
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],3
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],3
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],3
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],3
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
I,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
M,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],1
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],2
F,[0.185~0.545],[0.355~0.475],[0.08~1.13],[0.1315~1.358],[0.1145~0.618],[0.046~0.3265],[0.1~0.403],3
